,Price,Area,Location,No. of Bedrooms,Resale,ShoppingMall,ATM,School,Hospital,VaastuCompliant,City,Amenities,Furnitioned,Capacity(no. of people)
54,85.0,1200,Dwarka Mor,4.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,8.0
55,450.0,4600,Sector-18 Dwarka,4.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,8.0
56,175.0,1650,Vasant Kunj,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
57,27.0,540,Dwarka Mor,2.0,0,0.0,0.0,1.0,1.0,1.0,Delhi,1,0,4.0
58,49.99,950,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0
59,46.99,850,Dwarka Mor,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
60,38.0,450,Shastri Nagar,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0
61,150.0,1551,Sector-8 Rohini,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,4.0
62,30.0,650,Jamia Nagar,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0
63,51.0,900,Sector 9 Dwarka,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
64,23.5,550,Uttam Nagar,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0
65,54.99,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
66,128.0,1843,Shanti Park Dwarka,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0
67,25.0,630,Govindpuri,2.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,0,0,4.0
68,275.0,3000,Sector 22 Dwarka,4.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,8.0
69,36.0,675,Matiala,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0
70,450.0,1300,Saket,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
71,55.0,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
72,55.0,900,Mahavir Enclave,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
73,168.0,1700,Sector 6 Dwarka,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,1,6.0
74,39.0,900,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
75,44.0,1000,Dwarka Mor,3.0,0,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0
76,150.0,1200,Sector 23 Dwarka,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,4.0
77,65.0,700,Shastri Nagar,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
78,29.0,630,Burari,2.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,4.0
79,21.0,540,Burari,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,4.0
80,62.0,1200,Shahdara,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
81,40.11,1000,Uttam Nagar,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
82,53.0,850,Babarpur,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
83,135.0,1500,Sector 19 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
84,24.0,750,Khanpur,2.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,4.0
85,145.0,1650,Sector 13 Dwarka,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,6.0
86,45.0,810,Mansa Ram Park,3.0,1,0.0,0.0,0.0,0.0,1.0,Delhi,1,0,6.0
87,160.0,1250,Sector 13 Rohini,3.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,6.0
88,64.0,600,Sector-18 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,1,2.0
89,350.0,3800,Sector 12 Dwarka,5.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,1,1,10.0
90,100.0,1000,Sector 24 Rohini,3.0,0,0.0,0.0,0.0,0.0,0.0,Delhi,1,0,6.0
91,23.0,380,Sector 23 Dwarka,1.0,1,0.0,0.0,0.0,0.0,0.0,Delhi,0,0,2.0
